,timestamp,iv_uniswap,iv_dvol,iv_dvol_norm,iv_uniswap_norm,iv_dvol_fd,iv_uniswap_fd
24,2024-03-21 00:00:00,106.1041399831676,77.59,0.7380735338802799,0.26103202715798896,,
25,2024-03-21 01:00:00,105.43700546196544,77.36,0.7310847766636283,0.25931374550969194,,
26,2024-03-21 02:00:00,108.53878911826908,78.09,0.7532664843512613,0.26730274587503056,,
27,2024-03-21 03:00:00,105.69053804625209,78.65,0.7702825888787606,0.25996674782478735,,
28,2024-03-21 04:00:00,107.07138284681774,78.82,0.7754481920388939,0.2635232723405368,,
29,2024-03-21 05:00:00,105.73089229308648,80.33,0.8213309024612581,0.26007068482634055,,
30,2024-03-21 06:00:00,95.2120627954368,80.55,0.8280158006684899,0.2329782302868769,,
31,2024-03-21 07:00:00,94.57276736380364,80.42,0.8240656335460349,0.2313316514139445,,
32,2024-03-21 08:00:00,99.384278404077,80.04,0.8125189911880891,0.24372425119454363,,
33,2024-03-21 09:00:00,97.7550410577092,79.15,0.785475539349742,0.23952796312367716,,
34,2024-03-21 10:00:00,92.22840075077434,78.83,0.7757520510483137,0.22529346571072303,,
35,2024-03-21 11:00:00,92.09769249178883,78.69,0.7714980249164388,0.2249568115644334,,
36,2024-03-21 12:00:00,78.18127949056469,77.73,0.7423275600121546,0.1891134901499824,,
37,2024-03-21 13:00:00,91.01714529091356,77.23,0.7271346095411731,0.22217373803671828,,
38,2024-03-21 14:00:00,89.95704510340322,76.18,0.6952294135521122,0.2194433281423647,,
39,2024-03-21 15:00:00,94.38440761912786,76.62,0.7085992099665758,0.23084650923906336,,
40,2024-03-21 16:00:00,78.82825714231714,76.56,0.706776055910058,0.19077985546392429,,
41,2024-03-21 17:00:00,91.07371281620568,76.61,0.708295350957156,0.22231943420070013,,
42,2024-03-21 18:00:00,99.5131030351313,78.16,0.7553934974171985,0.24405605384056825,,
43,2024-03-21 19:00:00,96.05977229164468,78.05,0.7520510483135826,0.23516160354088916,,
44,2024-03-21 20:00:00,91.75679189333636,77.93,0.7484047402005474,0.22407878288566138,,
45,2024-03-21 21:00:00,89.65434318230754,77.97,0.7496201762382256,0.2186636845481677,,
46,2024-03-21 22:00:00,84.86442238225096,77.85,0.74597386812519,0.20632669291310413,,
47,2024-03-21 23:00:00,86.63796625884834,78.0,0.7505317532664845,0.21089465904100788,,
48,2024-03-22 00:00:00,82.10754363790534,77.69,0.7411121239744759,0.1992260347962779,,
49,2024-03-22 01:00:00,82.89456546351484,77.77,0.7435429960498329,0.20125309997845006,,
50,2024-03-22 02:00:00,82.97372220293155,77.55,0.7368580978426011,0.20145697726010184,,
51,2024-03-22 03:00:00,78.96648206564988,77.81,0.7447584320875116,0.19113586964330137,,
52,2024-03-22 04:00:00,74.89894872059465,77.45,0.733819507748405,0.18065946993901066,,
53,2024-03-22 05:00:00,74.11039509782327,76.98,0.7195381343056825,0.17862845943716382,,
54,2024-03-22 06:00:00,73.99375976631232,76.73,0.7119416590701917,0.17832805173330651,,
55,2024-03-22 07:00:00,69.97841732683015,76.67,0.7101185050136739,0.16798607570580681,,
56,2024-03-22 08:00:00,64.24991136402942,75.51,0.6748708599209969,0.15323165009115997,,
57,2024-03-22 09:00:00,81.36644758232947,75.46,0.6733515648738985,0.19731725671412045,,
58,2024-03-22 10:00:00,82.04887151812751,75.42,0.6721361288362202,0.1990749180072692,,
59,2024-03-22 11:00:00,85.41620115230754,76.59,0.7076876329383169,0.20774786256386604,,
60,2024-03-22 12:00:00,97.28590123070887,77.7,0.7414159829838958,0.2383196395703295,,
61,2024-03-22 13:00:00,96.9945449472058,78.49,0.7654208447280462,0.23756921796996439,,
62,2024-03-22 14:00:00,99.6484335102661,79.34,0.7912488605287149,0.2444046130358868,,
63,2024-03-22 15:00:00,90.96883879385628,78.26,0.758432087511395,0.22204931910058306,,
64,2024-03-22 16:00:00,83.55156352248028,77.98,0.7499240352476454,0.20294527400304227,,
65,2024-03-22 17:00:00,83.99698583441943,77.76,0.7432391370404136,0.20409251036995654,,
66,2024-03-22 18:00:00,91.76146193195736,77.8,0.7444545730780918,0.2240908111069635,,
67,2024-03-22 19:00:00,91.18047626199234,77.64,0.7395928289273779,0.22259441572807423,,
68,2024-03-22 20:00:00,89.51319755209069,77.58,0.73776967487086,0.21830014775246734,,
69,2024-03-22 21:00:00,103.27023286875529,77.81,0.7447584320875116,0.2537329736194338,,
70,2024-03-22 22:00:00,107.0035535142362,76.56,0.706776055910058,0.26334857009730545,,
71,2024-03-22 23:00:00,94.686225924509,76.56,0.706776055910058,0.23162387697941353,,
72,2024-03-23 00:00:00,90.72524250305617,76.69,0.710726223032513,0.22142190885156643,,
73,2024-03-23 01:00:00,88.97372503817894,75.79,0.6833789121847467,0.21691067427904429,,
74,2024-03-23 02:00:00,88.9825054807822,76.06,0.6915831054390765,0.2169332893183049,,
75,2024-03-23 03:00:00,96.84660552709884,76.9,0.7171072622303255,0.2371881829874373,,
76,2024-03-23 04:00:00,89.14018639883733,77.93,0.7484047402005474,0.2173394146486094,,
77,2024-03-23 05:00:00,88.24868275404963,78.21,0.7569127924642965,0.21504324453067244,,
78,2024-03-23 06:00:00,86.20408785134066,78.49,0.7654208447280462,0.2097771553269603,,
79,2024-03-23 07:00:00,87.68626750119611,78.15,0.7550896384077791,0.21359467939577417,,
80,2024-03-23 08:00:00,86.02292208650314,78.15,0.7550896384077791,0.2093105420741203,,
81,2024-03-23 09:00:00,83.96974057679923,78.47,0.7648131267092071,0.20402233707703868,,
